window_start,device,pkt_count,total_bytes,outgoing_pkts,incoming_pkts,outgoing_bytes,incoming_bytes,avg_pkt_size,max_pkt_size,min_pkt_size,label
0.0,AmazonEchoGen1,6,606,4,2,485,121,101.0,187,40,AmazonEchoGen1
0.0,Gateway,2,168,2,0,168,0,84.0,84,84,Gateway
0.0,GoogleHomeMini,22,1728,13,9,912,816,78.54545454545455,156,52,GoogleHomeMini
0.0,HarmonKardonInvoke,9,2308,5,4,1584,724,256.44444444444446,1289,52,HarmonKardonInvoke
0.0,LogitechLogiCircle,232,183500,145,87,178976,4524,790.948275862069,1500,52,LogitechLogiCircle
0.0,MiCasaVerdeVeraLite,9,3683,9,0,3683,0,409.22222222222223,437,358,MiCasaVerdeVeraLite
0.0,PhilipsHUEHub,89,15798,84,5,14667,1131,177.5056179775281,1108,52,PhilipsHUEHub
0.0,Roku4,1,84,1,0,84,0,84.0,84,84,Roku4
0.0,SamsungSmartTV,8,1482,8,0,1482,0,185.25,226,63,SamsungSmartTV
0.0,SamsungSmartThingsHub,64,4270,63,1,3864,406,66.71875,406,52,SamsungSmartThingsHub
0.0,SecurifiAlmond,1,84,1,0,84,0,84.0,84,84,SecurifiAlmond
0.0,Sonos,21,8741,21,0,8741,0,416.23809523809524,444,364,Sonos
5.0,AugustDoorbellCam,3,302,2,1,192,110,100.66666666666667,140,52,AugustDoorbellCam
5.0,BelkinWeMoMotionSensor,1,427,1,0,427,0,427.0,427,427,BelkinWeMoMotionSensor
5.0,ChamberlainmyQGarageOpener,4,160,2,2,80,80,40.0,40,40,ChamberlainmyQGarageOpener
5.0,GoogleHome,10,980,5,5,340,640,98.0,147,52,GoogleHome
5.0,HarmonKardonInvoke,3,416,2,1,194,222,138.66666666666666,222,52,HarmonKardonInvoke
5.0,LogitechLogiCircle,183,143152,114,69,139564,3588,782.2513661202186,1500,52,LogitechLogiCircle
5.0,PhilipsHUEHub,101,13754,101,0,13754,0,136.17821782178217,332,52,PhilipsHUEHub
5.0,RingDoorbell,20,1153,10,10,602,551,57.65,187,40,RingDoorbell
5.0,Roomba,2,80,1,1,40,40,40.0,40,40,Roomba
5.0,SamsungSmartTV,8,1156,8,0,1156,0,144.5,226,63,SamsungSmartTV
5.0,SamsungSmartThingsHub,93,5539,93,0,5539,0,59.55913978494624,159,52,SamsungSmartThingsHub
10.0,BelkinWeMoLink,3,252,3,0,252,0,84.0,84,84,BelkinWeMoLink
10.0,Gateway,3,252,3,0,252,0,84.0,84,84,Gateway
10.0,GoogleHome,4,208,2,2,104,104,52.0,52,52,GoogleHome
10.0,GoogleHomeMini,2,104,1,1,52,52,52.0,52,52,GoogleHomeMini
10.0,LogitechLogiCircle,224,182405,142,82,178141,4264,814.3080357142857,1500,52,LogitechLogiCircle
10.0,NetgearArloCamera,4,208,2,2,104,104,52.0,52,52,NetgearArloCamera
10.0,PhilipsHUEHub,64,7621,64,0,7621,0,119.078125,332,52,PhilipsHUEHub
10.0,SamsungSmartTV,10,1608,10,0,1608,0,160.8,226,63,SamsungSmartTV
10.0,SamsungSmartThingsHub,61,3402,61,0,3402,0,55.77049180327869,159,52,SamsungSmartThingsHub
10.0,Sonos,5,1020,3,2,908,112,204.0,426,52,Sonos
15.0,AmazonEchoGen1,34,2190,28,6,1854,336,64.41176470588235,84,52,AmazonEchoGen1
15.0,AugustDoorbellCam,3,234,2,1,150,84,78.0,84,66,AugustDoorbellCam
15.0,Canary,27,10535,16,11,3341,7194,390.18518518518516,1500,40,Canary
15.0,ChamberlainmyQGarageOpener,4,160,2,2,80,80,40.0,40,40,ChamberlainmyQGarageOpener
15.0,ChineseWebcam,2,101,1,1,53,48,50.5,53,48,ChineseWebcam
15.0,Gateway,23,2371,21,2,2247,124,103.08695652173913,350,62,Gateway
15.0,HarmonKardonInvoke,3,1878,2,1,1357,521,626.0,1305,52,HarmonKardonInvoke
15.0,LogitechHarmonyHub,1,84,1,0,84,0,84.0,84,84,LogitechHarmonyHub
15.0,LogitechLogiCircle,182,135811,114,68,132275,3536,746.2142857142857,1500,52,LogitechLogiCircle
15.0,PhilipsHUEHub,117,15046,107,10,14339,707,128.5982905982906,1173,40,PhilipsHUEHub
15.0,PiperNV,3,222,1,2,87,135,74.0,87,52,PiperNV
15.0,RingDoorbell,19,1113,10,9,602,511,58.578947368421055,187,40,RingDoorbell
15.0,Roomba,2,80,1,1,40,40,40.0,40,40,Roomba
15.0,SamsungSmartTV,6,1030,6,0,1030,0,171.66666666666666,226,63,SamsungSmartTV
15.0,SamsungSmartThingsHub,88,4921,88,0,4921,0,55.92045454545455,159,52,SamsungSmartThingsHub
15.0,Sonos,20,10460,10,10,9780,680,523.0,1500,52,Sonos
15.0,WithingsHome,3,444,2,1,263,181,148.0,211,52,WithingsHome
20.0,AugustDoorbellCam,26,10327,16,10,5951,4376,397.1923076923077,1500,52,AugustDoorbellCam
20.0,Canary,2,189,1,1,52,137,94.5,137,52,Canary
20.0,Gateway,3,923,3,0,923,0,307.6666666666667,350,259,Gateway
20.0,GoogleHome,8,711,5,3,439,272,88.875,130,52,GoogleHome
20.0,GoogleHomeMini,8,711,5,3,439,272,88.875,130,52,GoogleHomeMini
20.0,HarmonKardonInvoke,2,1357,1,1,1305,52,678.5,1305,52,HarmonKardonInvoke
20.0,LogitechLogiCircle,230,178537,143,87,174013,4524,776.2478260869565,1500,52,LogitechLogiCircle
20.0,PhilipsHUEHub,59,6536,59,0,6536,0,110.77966101694915,318,52,PhilipsHUEHub
20.0,PiperNV,28,7541,15,13,1962,5579,269.32142857142856,1500,40,PiperNV
20.0,SamsungSmartTV,10,1608,10,0,1608,0,160.8,226,63,SamsungSmartTV
20.0,SamsungSmartThingsHub,63,3610,61,2,3451,159,57.301587301587304,159,52,SamsungSmartThingsHub
25.0,AmazonEchoGen1,2,364,2,0,364,0,182.0,187,177,AmazonEchoGen1
25.0,AmazonFireTV,6,820,6,0,820,0,136.66666666666666,177,52,AmazonFireTV
25.0,Canary,5,711,3,2,424,287,142.2,235,52,Canary
25.0,CasetaWirelessHub,3,218,2,1,135,83,72.66666666666667,83,52,CasetaWirelessHub
25.0,ChamberlainmyQGarageOpener,4,160,2,2,80,80,40.0,40,40,ChamberlainmyQGarageOpener
25.0,D-LinkDCS-5009LCamera,10,2578,10,0,2578,0,257.8,331,60,D-LinkDCS-5009LCamera
25.0,Gateway,2,413,2,0,413,0,206.5,339,74,Gateway
25.0,GoogleHome,6,367,2,4,104,263,61.166666666666664,107,52,GoogleHome
25.0,GoogleHomeMini,2,104,1,1,52,52,52.0,52,52,GoogleHomeMini
25.0,HarmonKardonInvoke,6,1529,5,1,1008,521,254.83333333333334,521,52,HarmonKardonInvoke
25.0,LogitechLogiCircle,189,141064,115,74,137216,3848,746.3703703703703,1500,52,LogitechLogiCircle
25.0,PhilipsHUEHub,91,9918,90,1,9878,40,108.98901098901099,309,40,PhilipsHUEHub
25.0,PiperNV,3,350,2,1,203,147,116.66666666666667,151,52,PiperNV
25.0,RingDoorbell,20,1300,10,10,602,698,65.0,187,40,RingDoorbell
25.0,Roomba,2,80,1,1,40,40,40.0,40,40,Roomba
25.0,SamsungSmartTV,45,12627,32,13,6442,6185,280.6,1500,40,SamsungSmartTV
25.0,SamsungSmartThingsHub,89,4973,89,0,4973,0,55.87640449438202,159,52,SamsungSmartThingsHub
25.0,Wink2Hub,3,342,1,2,137,205,114.0,153,52,Wink2Hub
30.0,AmazonEchoGen1,4,242,2,2,121,121,60.5,81,40,AmazonEchoGen1
30.0,AmazonFireTV,3,406,3,0,406,0,135.33333333333334,177,52,AmazonFireTV
30.0,D-LinkDCS-5009LCamera,2,120,2,0,120,0,60.0,60,60,D-LinkDCS-5009LCamera
30.0,GoogleHomeMini,39,7425,22,17,5650,1775,190.3846153846154,1420,52,GoogleHomeMini
30.0,InsteonHub,2,152,1,1,76,76,76.0,76,76,InsteonHub
30.0,LogitechLogiCircle,226,189121,144,82,184857,4264,836.8185840707964,1500,52,LogitechLogiCircle
30.0,NetgearArloCamera,4,208,2,2,104,104,52.0,52,52,NetgearArloCamera
30.0,PhilipsHUEHub,59,6536,59,0,6536,0,110.77966101694915,269,52,PhilipsHUEHub
30.0,SamsungSmartTV,11,2030,11,0,2030,0,184.54545454545453,248,52,SamsungSmartTV
30.0,SamsungSmartThingsHub,59,3298,59,0,3298,0,55.898305084745765,159,52,SamsungSmartThingsHub
